classifier,vectorizer,train_time,test_time,p_score,r_score,f_score,score,custom_f_score
SVC,TfidfVectorizer,11.67477,5.07409,0.96050,0.96653,0.96350,0.98128,0.60870
SVC,HashingVectorizer,12.33636,5.51266,0.48016,0.98745,0.64613,0.72353,0.60870
SVC,CountVectorizer,3.10226,1.18707,0.98249,0.93933,0.96043,0.98021,0.50000
LinearSVC,TfidfVectorizer,0.10672,0.00534,0.99154,0.98117,0.98633,0.99305,0.70588
LinearSVC,HashingVectorizer,0.16688,0.00611,0.97917,0.98326,0.98121,0.99037,0.70000
LinearSVC,CountVectorizer,0.44282,0.00546,0.97917,0.98326,0.98121,0.99037,0.58824
MultinomialNB,TfidfVectorizer,0.00766,0.00767,1.00000,0.50000,0.66667,0.87219,0.00000
MultinomialNB tuple ##ERROR## Negative values in data passed to MultinomialNB (input X)
MultinomialNB,CountVectorizer,0.00736,0.00709,0.96444,0.90795,0.93534,0.96791,0.60000
BernoulliNB,TfidfVectorizer,0.01345,0.01302,0.98734,0.48954,0.65455,0.86791,0.18182
BernoulliNB,HashingVectorizer,0.06253,0.10354,1.00000,0.01464,0.02887,0.74813,0.00000
BernoulliNB,CountVectorizer,0.01608,0.02050,0.98734,0.48954,0.65455,0.86791,0.18182
LogisticRegression,TfidfVectorizer,0.20683,0.00912,0.98693,0.94770,0.96692,0.98342,0.50000
LogisticRegression,HashingVectorizer,0.66852,0.00755,0.98812,0.87029,0.92547,0.96417,0.66667
LogisticRegression,CountVectorizer,2.66084,0.00615,0.98739,0.98326,0.98532,0.99251,0.50000
RandomForestClassifier,TfidfVectorizer,1.17148,0.17003,0.99359,0.97280,0.98309,0.99144,0.46154
RandomForestClassifier,HashingVectorizer,16.75462,0.37176,0.99558,0.94351,0.96885,0.98449,0.33333
RandomForestClassifier,CountVectorizer,1.00927,0.19452,0.99786,0.97490,0.98624,0.99305,0.50000
AdaBoostClassifier,TfidfVectorizer,5.12454,0.12833,0.94179,0.94770,0.94473,0.97166,0.62500
AdaBoostClassifier,HashingVectorizer,24.66948,0.44447,0.94433,0.95816,0.95119,0.97487,0.58824
AdaBoostClassifier,CountVectorizer,2.64553,0.10286,0.94444,0.92469,0.93446,0.96684,0.40000
BaggingClassifier,TfidfVectorizer,21.79046,0.09014,0.98276,0.95397,0.96815,0.98396,0.40000
BaggingClassifier,HashingVectorizer,61.81265,0.50856,0.98455,0.93305,0.95811,0.97914,0.37500
BaggingClassifier,CountVectorizer,15.91403,0.07434,0.97192,0.94142,0.95643,0.97807,0.47059
ExtraTreesClassifier,TfidfVectorizer,8.10476,0.25896,0.99351,0.96025,0.97660,0.98824,0.46154
ExtraTreesClassifier,HashingVectorizer,135.90050,1.10890,0.99560,0.94770,0.97106,0.98556,0.57143
ExtraTreesClassifier,CountVectorizer,6.50315,0.30257,0.99570,0.96862,0.98197,0.99091,0.40000
GradientBoostingClassifier,TfidfVectorizer,27.52726,0.01405,0.98210,0.91841,0.94919,0.97487,0.46154
GradientBoostingClassifier,HashingVectorizer,82.14471,0.02254,0.97545,0.91423,0.94384,0.97219,0.46154
GradientBoostingClassifier,CountVectorizer,13.86325,0.01202,0.97260,0.89121,0.93013,0.96578,0.46154
DecisionTreeClassifier,TfidfVectorizer,2.71055,0.00588,0.95137,0.94142,0.94637,0.97273,0.47059
DecisionTreeClassifier,HashingVectorizer,6.61370,0.01145,0.96507,0.92469,0.94444,0.97219,0.35294
DecisionTreeClassifier,CountVectorizer,1.52354,0.00588,0.93946,0.94142,0.94044,0.96952,0.50000
CalibratedClassifierCV,TfidfVectorizer,0.45105,0.00953,0.99160,0.98745,0.98952,0.99465,0.63158
CalibratedClassifierCV,HashingVectorizer,0.75666,0.01815,0.97713,0.98326,0.98019,0.98984,0.63636
CalibratedClassifierCV,CountVectorizer,1.68737,0.01098,0.98896,0.93724,0.96241,0.98128,0.40000
DummyClassifier,TfidfVectorizer,0.00089,0.00460,0.24649,0.25732,0.25179,0.61658,0.46154
DummyClassifier,HashingVectorizer,0.00041,0.00385,0.23840,0.23640,0.23739,0.60909,0.36364
DummyClassifier,CountVectorizer,0.00044,0.00397,0.26598,0.26987,0.26791,0.61765,0.00000
PassiveAggressiveClassifier,TfidfVectorizer,0.05061,0.00584,0.98747,0.98954,0.98851,0.99412,0.71429
PassiveAggressiveClassifier,HashingVectorizer,0.20250,0.00632,0.96728,0.98954,0.97828,0.98877,0.63636
PassiveAggressiveClassifier,CountVectorizer,0.11564,0.00649,0.98137,0.99163,0.98647,0.99305,0.58824
RidgeClassifier,TfidfVectorizer,0.15026,0.00634,0.99145,0.97071,0.98097,0.99037,0.62500
RidgeClassifier,HashingVectorizer,0.63691,0.01169,0.98869,0.91423,0.95000,0.97540,0.66667
RidgeClassifier,CountVectorizer,11.63794,0.01164,0.94937,0.94142,0.94538,0.97219,0.33333
RidgeClassifierCV,TfidfVectorizer,73.00479,0.00900,0.98943,0.97908,0.98423,0.99198,0.71429
RidgeClassifierCV,HashingVectorizer,66.59463,0.02501,0.98117,0.98117,0.98117,0.99037,0.55556
RidgeClassifierCV,CountVectorizer,60.90847,0.01636,0.97198,0.94351,0.95754,0.97861,0.66667
SGDClassifier,TfidfVectorizer,0.15153,0.00736,0.99160,0.98745,0.98952,0.99465,0.66667
SGDClassifier,HashingVectorizer,0.18063,0.00702,0.98715,0.96444,0.97566,0.98770,0.70588
SGDClassifier,CountVectorizer,0.08957,0.00593,0.98043,0.94351,0.96162,0.98075,0.62500
OneVsRestClassifier,TfidfVectorizer,0.86172,0.01008,0.98693,0.94770,0.96692,0.98342,0.50000
OneVsRestClassifier,HashingVectorizer,7.41479,0.00902,0.98810,0.86820,0.92428,0.96364,0.66667
OneVsRestClassifier,CountVectorizer,12.01976,0.01707,0.98739,0.98326,0.98532,0.99251,0.50000
KNeighborsClassifier,TfidfVectorizer,0.00303,2.05333,0.91959,0.93305,0.92627,0.96203,0.61538
KNeighborsClassifier,HashingVectorizer,0.00329,1.95986,0.93908,0.93515,0.93711,0.96791,0.71429
KNeighborsClassifier,CountVectorizer,0.00254,2.13517,0.67363,0.87657,0.76182,0.85989,0.50000
Runtime: 734.5628087520599
