classifier,vectorizer,train_time,test_time,p_score,r_score,f_score,score,custom_f_score
SVC,TfidfVectorizer,8.96812,3.94115,0.93131,0.96444,0.94758,0.97273,0.60870
SVC,HashingVectorizer,13.77868,6.05450,0.55529,0.98745,0.71084,0.79465,0.60870
SVC,CountVectorizer,1.97578,0.79716,0.96476,0.91632,0.93991,0.97005,0.80000
LinearSVC,TfidfVectorizer,0.03952,0.00422,0.97908,0.97908,0.97908,0.98930,0.63636
LinearSVC,HashingVectorizer,0.08082,0.00420,0.96025,0.96025,0.96025,0.97968,0.63158
LinearSVC,CountVectorizer,0.22187,0.00468,0.98309,0.97280,0.97792,0.98877,0.66667
MultinomialNB,TfidfVectorizer,0.00421,0.00482,0.95843,0.86820,0.91109,0.95668,0.71429
MultinomialNB tuple ##ERROR## Negative values in data passed to MultinomialNB (input X)
MultinomialNB,CountVectorizer,0.00378,0.00483,0.84708,0.88075,0.86359,0.92888,0.54545
BernoulliNB,TfidfVectorizer,0.00697,0.00642,0.91453,0.89540,0.90486,0.95187,0.55556
BernoulliNB,HashingVectorizer,0.01966,0.01326,0.79461,0.80126,0.79792,0.89626,0.42105
BernoulliNB,CountVectorizer,0.00675,0.00706,0.91453,0.89540,0.90486,0.95187,0.55556
LogisticRegression,TfidfVectorizer,0.08050,0.00418,0.96603,0.95188,0.95890,0.97914,0.63158
LogisticRegression,HashingVectorizer,0.12621,0.00407,0.96950,0.93096,0.94984,0.97487,0.63158
LogisticRegression,CountVectorizer,2.60026,0.00518,0.98734,0.97908,0.98319,0.99144,0.70588
RandomForestClassifier,TfidfVectorizer,0.71949,0.16045,0.99351,0.96025,0.97660,0.98824,0.66667
RandomForestClassifier,HashingVectorizer,0.83698,0.16177,0.99125,0.94770,0.96898,0.98449,0.66667
RandomForestClassifier,CountVectorizer,0.66296,0.15996,0.98718,0.96653,0.97674,0.98824,0.62500
AdaBoostClassifier,TfidfVectorizer,3.70894,0.06916,0.95789,0.95188,0.95488,0.97701,0.70000
AdaBoostClassifier,HashingVectorizer,4.91523,0.10426,0.95905,0.93096,0.94480,0.97219,0.55556
AdaBoostClassifier,CountVectorizer,1.45245,0.06796,0.94861,0.92678,0.93757,0.96845,0.63158
BaggingClassifier,TfidfVectorizer,14.58120,0.03465,0.98242,0.93515,0.95820,0.97914,0.58824
BaggingClassifier,HashingVectorizer,20.89538,0.04565,0.95652,0.92050,0.93817,0.96898,0.58824
BaggingClassifier,CountVectorizer,5.59753,0.03475,0.96909,0.91841,0.94307,0.97166,0.40000
ExtraTreesClassifier,TfidfVectorizer,4.58367,0.10975,0.98922,0.96025,0.97452,0.98717,0.58824
ExtraTreesClassifier,HashingVectorizer,8.07539,0.13957,0.99335,0.93724,0.96448,0.98235,0.66667
ExtraTreesClassifier,CountVectorizer,4.48621,0.10516,0.98721,0.96862,0.97782,0.98877,0.71429
GradientBoostingClassifier,TfidfVectorizer,19.07340,0.01444,0.97403,0.94142,0.95745,0.97861,0.62500
GradientBoostingClassifier,HashingVectorizer,25.95102,0.01833,0.98018,0.93096,0.95494,0.97754,0.62500
GradientBoostingClassifier,CountVectorizer,6.92771,0.01470,0.97603,0.93724,0.95624,0.97807,0.55556
