classifier,vectorizer,train_time,test_time,p_score,r_score,f_score,score,custom_f_score
SVC,TfidfVectorizer,13.22826,6.09596,0.96437,0.90586,0.93420,0.96738,0.66667
SVC,CountVectorizer,3.86028,1.66041,0.98729,0.97490,0.98105,0.99037,0.70588
SVC,HashingVectorizer,14.69816,6.69062,0.88740,0.97280,0.92814,0.96150,0.66667
LinearSVC,TfidfVectorizer,0.09564,0.00523,0.99142,0.96653,0.97881,0.98930,0.66667
LinearSVC,CountVectorizer,0.47597,0.00513,0.98323,0.98117,0.98220,0.99091,0.52632
LinearSVC,HashingVectorizer,0.13357,0.00673,0.98323,0.98117,0.98220,0.99091,0.70588
MultinomialNB,TfidfVectorizer,0.01152,0.00868,1.00000,0.49372,0.66106,0.87059,0.00000
MultinomialNB,CountVectorizer,0.00792,0.00749,0.97510,0.98326,0.97917,0.98930,0.82353
MultinomialNB tuple ##ERROR## Negative values in data passed to MultinomialNB (input X)
BernoulliNB,TfidfVectorizer,0.01501,0.01746,0.98289,0.84100,0.90643,0.95561,0.00000
BernoulliNB,CountVectorizer,0.01219,0.01464,0.98289,0.84100,0.90643,0.95561,0.00000
BernoulliNB,HashingVectorizer,0.07094,0.09503,1.00000,0.00628,0.01247,0.74599,0.00000
LogisticRegression,TfidfVectorizer,0.16702,0.00591,0.97978,0.91213,0.94475,0.97273,0.66667
LogisticRegression,CountVectorizer,2.80532,0.00713,0.98316,0.97699,0.98006,0.98984,0.75000
LogisticRegression,HashingVectorizer,0.58294,0.00768,0.95879,0.92469,0.94143,0.97059,0.58824
RandomForestClassifier,TfidfVectorizer,0.94488,0.16814,0.99346,0.95397,0.97332,0.98663,0.57143
RandomForestClassifier,CountVectorizer,0.99381,0.16390,0.98698,0.95188,0.96912,0.98449,0.57143
RandomForestClassifier,HashingVectorizer,11.83648,0.35395,0.98896,0.93724,0.96241,0.98128,0.33333
AdaBoostClassifier,TfidfVectorizer,12.62231,0.12779,0.95010,0.95607,0.95308,0.97594,0.73684
AdaBoostClassifier,CountVectorizer,9.61896,0.15377,0.93869,0.92887,0.93375,0.96631,0.75000
AdaBoostClassifier,HashingVectorizer,22.43632,0.36221,0.96344,0.93724,0.95016,0.97487,0.66667
BaggingClassifier,TfidfVectorizer,20.40983,0.07475,0.97629,0.94770,0.96178,0.98075,0.53333
BaggingClassifier,CountVectorizer,13.17534,0.08961,0.96146,0.93933,0.95026,0.97487,0.63158
BaggingClassifier,HashingVectorizer,49.31841,0.47934,0.98891,0.93305,0.96017,0.98021,0.40000
ExtraTreesClassifier,TfidfVectorizer,14.02272,0.29906,0.99132,0.95607,0.97338,0.98663,0.53333
ExtraTreesClassifier,CountVectorizer,14.10189,0.23406,0.98947,0.98326,0.98636,0.99305,0.57143
ExtraTreesClassifier,HashingVectorizer,101.16158,0.92135,0.99778,0.93933,0.96767,0.98396,0.46154
GradientBoostingClassifier,TfidfVectorizer,44.42432,0.01513,0.95949,0.94142,0.95037,0.97487,0.70588
GradientBoostingClassifier,CountVectorizer,27.97425,0.01355,0.96383,0.94770,0.95570,0.97754,0.53333
GradientBoostingClassifier,HashingVectorizer,84.73199,0.02646,0.96596,0.94979,0.95781,0.97861,0.70588
DecisionTreeClassifier,TfidfVectorizer,3.37194,0.00963,0.94883,0.93096,0.93981,0.96952,0.62500
DecisionTreeClassifier,CountVectorizer,1.72699,0.00910,0.92872,0.92678,0.92775,0.96310,0.57143
DecisionTreeClassifier,HashingVectorizer,8.24582,0.01263,0.96288,0.92259,0.94231,0.97112,0.63158
CalibratedClassifierCV,TfidfVectorizer,0.39635,0.01117,0.98337,0.98954,0.98644,0.99305,0.62500
CalibratedClassifierCV,CountVectorizer,1.90155,0.01368,0.98701,0.95397,0.97021,0.98503,0.57143
CalibratedClassifierCV,HashingVectorizer,0.66354,0.01897,0.97516,0.98536,0.98023,0.98984,0.66667
DummyClassifier,TfidfVectorizer,0.00136,0.00394,0.25344,0.26987,0.26140,0.62353,0.57143
DummyClassifier,CountVectorizer,0.00040,0.00379,0.23600,0.24686,0.24131,0.62406,0.33333
DummyClassifier,HashingVectorizer,0.00039,0.00375,0.27215,0.26987,0.27101,0.62032,0.15385
PassiveAggressiveClassifier,TfidfVectorizer,0.05315,0.00664,0.98732,0.97699,0.98212,0.99091,0.80000
PassiveAggressiveClassifier,CountVectorizer,0.11795,0.00555,0.97708,0.98117,0.97912,0.98930,0.62500
PassiveAggressiveClassifier,HashingVectorizer,0.15422,0.00583,0.98333,0.98745,0.98539,0.99251,0.71429
RidgeClassifier,TfidfVectorizer,0.22258,0.00888,0.99346,0.95397,0.97332,0.98663,0.71429
RidgeClassifier,CountVectorizer,10.46925,0.00662,0.95127,0.93933,0.94526,0.97219,0.46154
RidgeClassifier,HashingVectorizer,0.90466,0.00901,0.97674,0.96653,0.97161,0.98556,0.71429
RidgeClassifierCV,TfidfVectorizer,75.41326,0.01279,0.99132,0.95607,0.97338,0.98663,0.71429
RidgeClassifierCV,CountVectorizer,77.03719,0.00839,0.98043,0.94351,0.96162,0.98075,0.57143
RidgeClassifierCV,HashingVectorizer,72.99662,0.01269,0.98932,0.96862,0.97886,0.98930,0.71429
SGDClassifier,TfidfVectorizer,0.07067,0.00790,0.98934,0.97071,0.97994,0.98984,0.66667
SGDClassifier,CountVectorizer,0.13292,0.00948,0.97468,0.96653,0.97059,0.98503,0.71429
SGDClassifier,HashingVectorizer,0.13925,0.00622,0.98113,0.97908,0.98010,0.98984,0.66667
OneVsRestClassifier,TfidfVectorizer,1.46755,0.01992,0.97978,0.91213,0.94475,0.97273,0.66667
OneVsRestClassifier,CountVectorizer,12.73638,0.01933,0.98316,0.97699,0.98006,0.98984,0.75000
