classifier,vectorizer,train_time,test_time,p_score,r_score,f_score,score,custom_f_score
SVC,TfidfVectorizer,14.487993001937866,6.938091516494751,0.94683,0.96862,0.95760,0.97807,0.57143
SVC,HashingVectorizer,15.464469194412231,7.1168293952941895,0.54023,0.98326,0.69733,0.78182,0.57143
SVC,CountVectorizer,3.3737363815307617,1.3720929622650146,0.98726,0.97280,0.97998,0.98984,0.66667
LinearSVC,TfidfVectorizer,0.09159660339355469,0.004277944564819336,0.99576,0.98326,0.98947,0.99465,0.66667
LinearSVC,HashingVectorizer,0.1755352020263672,0.006635189056396484,0.97917,0.98326,0.98121,0.99037,0.66667
LinearSVC,CountVectorizer,0.46553611755371094,0.004911661148071289,0.98950,0.98536,0.98742,0.99358,0.66667
MultinomialNB,TfidfVectorizer,0.008716344833374023,0.0071909427642822266,1.00000,0.38285,0.55371,0.84225,0.00000
MultinomialNB,HashingVectorizer,-1,-1,-1,-1,-1,-1,-1
MultinomialNB,CountVectorizer,0.008556365966796875,0.007822751998901367,0.95291,0.88912,0.91991,0.96043,0.66667
BernoulliNB,TfidfVectorizer,0.014605522155761719,0.0164029598236084,0.99642,0.58159,0.73448,0.89251,0.00000
BernoulliNB,HashingVectorizer,0.05729341506958008,0.09378862380981445,1.00000,0.01464,0.02887,0.74813,0.00000
BernoulliNB,CountVectorizer,0.014522075653076172,0.015652894973754883,0.99642,0.58159,0.73448,0.89251,0.00000
LogisticRegression,TfidfVectorizer,0.20312118530273438,0.009169340133666992,0.98265,0.94770,0.96486,0.98235,1.00000
LogisticRegression,HashingVectorizer,0.961148738861084,0.008318901062011719,0.96312,0.92887,0.94569,0.97273,1.00000
LogisticRegression,CountVectorizer,5.086185693740845,0.010359764099121094,0.98532,0.98326,0.98429,0.99198,1.00000
RandomForestClassifier,TfidfVectorizer,0.9873569011688232,0.1686234474182129,0.99784,0.96444,0.98085,0.99037,0.00000
RandomForestClassifier,HashingVectorizer,13.225770711898804,0.3846852779388428,0.99775,0.92887,0.96208,0.98128,0.00000
RandomForestClassifier,CountVectorizer,1.0549116134643555,0.19661784172058105,0.99565,0.95816,0.97655,0.98824,0.66667
AdaBoostClassifier,TfidfVectorizer,7.1157660484313965,0.17293763160705566,0.96242,0.96444,0.96343,0.98128,0.33333
AdaBoostClassifier,HashingVectorizer,24.592003345489502,0.399613618850708,0.95661,0.96862,0.96258,0.98075,0.33333
AdaBoostClassifier,CountVectorizer,3.108288288116455,0.15933609008789062,0.95879,0.92469,0.94143,0.97059,0.66667
BaggingClassifier,TfidfVectorizer,23.984092235565186,0.10242295265197754,0.97368,0.92887,0.95075,0.97540,0.80000
BaggingClassifier,HashingVectorizer,66.69187998771667,0.5837056636810303,0.97802,0.93096,0.95391,0.97701,0.66667
BaggingClassifier,CountVectorizer,14.221065521240234,0.09039020538330078,0.97168,0.93305,0.95197,0.97594,0.80000
ExtraTreesClassifier,TfidfVectorizer,6.638113975524902,0.26608729362487793,0.99782,0.95607,0.97650,0.98824,0.00000
ExtraTreesClassifier,HashingVectorizer,108.97350764274597,0.916926383972168,0.99774,0.92259,0.95870,0.97968,0.00000
ExtraTreesClassifier,CountVectorizer,6.062335014343262,0.2466449737548828,0.99570,0.96862,0.98197,0.99091,0.00000
GradientBoostingClassifier,TfidfVectorizer,33.37922978401184,0.01685023307800293,0.97655,0.95816,0.96727,0.98342,0.66667
GradientBoostingClassifier,HashingVectorizer,85.02266025543213,0.022798538208007812,0.97186,0.93933,0.95532,0.97754,0.66667
GradientBoostingClassifier,CountVectorizer,16.158901929855347,0.014691352844238281,0.97593,0.93305,0.95401,0.97701,0.50000
DecisionTreeClassifier,TfidfVectorizer,3.2786452770233154,0.0071887969970703125,0.95117,0.93724,0.94415,0.97166,0.50000
DecisionTreeClassifier,HashingVectorizer,7.812331676483154,0.011042356491088867,0.96746,0.93305,0.94995,0.97487,0.00000
DecisionTreeClassifier,CountVectorizer,1.7017097473144531,0.00594019889831543,0.94759,0.94561,0.94660,0.97273,0.50000
CalibratedClassifierCV,TfidfVectorizer,0.4644584655761719,0.010128974914550781,0.98742,0.98536,0.98639,0.99305,0.57143
CalibratedClassifierCV,HashingVectorizer,0.7622973918914795,0.01742839813232422,0.97908,0.97908,0.97908,0.98930,0.66667
CalibratedClassifierCV,CountVectorizer,1.6336109638214111,0.012439489364624023,0.99499,0.83054,0.90536,0.95561,0.00000
DummyClassifier,TfidfVectorizer,0.0008122920989990234,0.004980564117431641,0.26105,0.25941,0.26023,0.61390,0.50000
DummyClassifier,HashingVectorizer,0.00043272972106933594,0.004106283187866211,0.22984,0.23849,0.23409,0.61872,0.00000
DummyClassifier,CountVectorizer,0.0003979206085205078,0.003865957260131836,0.26471,0.26360,0.26415,0.62193,0.66667
PassiveAggressiveClassifier,TfidfVectorizer,0.0699610710144043,0.006332874298095703,0.98750,0.99163,0.98956,0.99465,1.00000
